Nationality;Discipline;Last Name;First Name;Age
ITA;ROW;BUMBACA;VERONICA;26
ITA;SWM;CURTIS;SARA;19
ITA;WPO;COCCHIERE;AGNESE;26
JPN;ATH;TANAKA;NOZOMI;26
USA;CLB;DUFFY;COLIN;22
USA;CTR;WILLIAMS;LILY;31
USA;SHO;VIZZI;DANIA JO;30
USA;SKB;LILLEY;RUBY;19
RUS;TEN;ALEXANDROVA;EKATERINA;31
ARG;ATH;BORELLI;FLORENCIA;33
ARG;HOC;MARTINEZ;LUCAS;32
AUS;CTR;BAKER;GEORGIA;31
AUS;DIV;ROUSSEAU;CASSIEL;24
BRA;VVO;RATZKE;ROBERTA SILVA;35
CAN;ATH;AHMED;MOHAMMED;35
CAN;ATH;GALE;LAUREN;26
CAN;EQU;WINTER;MICHAEL;51
CAN;EQU;CARIER BERGERON;CAMILLE;25
CAN;FBL;PRINCE;NICHELLE;30
CAN;OWS;FINLIN;EMMA;20
CAN;ROW;MESCHKULEIT;MAYA;24
CAN;SWM;BAGSHAW;JEREMY;33
CAN;SWM;MASSE;KYLIE;29
CAN;TEN;AUGER-ALIASSIME;FELIX;25
CHI;TKW;AGUIRRE;FERNANDA;28
CHN;ARC;KAO;WENCHAO;25
CHN;ATH;QIN;WEIBO;23
CHN;ATH;SU;WEN;26
CHN;CLB;ZHANG;YUETONG;22
CHN;CSP;BU;TINGKAI;30
CHN;CSP;WANG;NAN;25
CHN;FEN;XU;JIE;23
CHN;SHO;LIU;YUKUN;28
CHN;TTE;MA;LONG;37
CHN;WLF;HOU;ZHIHUI;28
CHN;WPO;LU;YIWEN;29
COL;ATH;MORENO;GEINER;25
COL;CTR;CUADRADO FLOREZ;STEFANY LORENA;19
FRA;BDM;CORVEE;LUCAS;32
FRA;CRD;MADOUAS;VALENTIN;29
FRA;CTR;BOUDAT;THOMAS;31
FRA;CTR;TABELLION;VALENTIN;26
FRA;CTR;BERTEAU;VICTOIRE;25
FRA;FBL;LACAZETTE;ALEXANDRE;34
FRA;HBL;TOUBLANC;ALICIA;29
GAM;TKW;ANN;ALASAN;25
GBR;ATH;MCCOLGAN;EILISH;35
GBR;ATH;SEMBER;CINDY;31
GBR;HOC;ANSLEY;GISELLE;33
GBR;HOC;HOWARD;TESS;26
GBR;MPN;BROWN;CHARLES;22
GBR;MTB;ALDRIDGE;CHARLIE;24
GBR;RU7;JONES;MEG;29
GBR;SWA;THORPE;ISABELLE;24
GBR;SWM;COHOON;ALEXANDER;23
GBR;TEN;SKUPSKI;NEAL;36
GEO;SHO;SALUKVADZE;NINO;56
GER;ATH;KLOSE;SOEREN;23
GER;ATH;SANDERS;MANUEL;27
GER;ATH;JUNK;SOPHIA;26
GER;BKB;SCHRODER;DENNIS;32
GER;BKB;SABALLY;SATOU;27
GER;BOX;KLOETZER;MAXI CARINA;25
GER;DIV;MULLER;JETTE;22
GER;EQU;VON BREDOW-WERNDL;JESSICA;39
GER;HBL;ANTL;LISA;25
GER;ROW;FINGER;ANTON;27
GER;ROW;MENZEL;LEONIE;26
GER;SAL;SPRANGER;ANDREAS;29
GER;SHO;ULBRICH;MAXIMILIAN;25
GER;SHO;VENNEKAMP;DOREEN;30
GER;SWM;KLEMET;OLIVER;23
GER;SWM;MARTENS;LUKAS;24
GER;SWM;VARJASI;PETER;25
GER;TRI;LUEHRS;LASSE;29
GER;VVO;KAMPA;LUKAS;39
GRE;ROW;KONTOU;DIMITRA;20
GRE;SAL;KOKKALANIS;VYRON;40
GRE;SWM;BILAS;STERGIOS MARIOS;24
GRE;SWM;PAPASTAMOS;APOSTOLOS;24
GUA;ATH;BARRONDO;JOSE ALEJANDRO;29
GUI;FBL;KEITA;MORY;20
HKG;BDM;YEUNG;PUI LAM;24
HKG;SAL;CHENG;CHING YIN;26
HUN;ATH;KEREKES;GRETA;33
HUN;FEN;NAGY;DAVID;26
HUN;FEN;SIKLOSI;GERGELY;28
HUN;JUD;TOTH;KRISZTIAN;31
HUN;SWM;HOLLO;BALAZS;26
HUN;WPO;GARDA;KRISZTINA;31
HUN;WPO;MAGYARI;ALDA;25
INA;ARC;PANGESTU;ARIF;21
INA;BDM;RAHAYU;APRIYANI;27
INA;ROW;MEMO;MEMO;30
IND;ARC;JADHAV;PRAVIN RAMESH;29
IND;ATH;ANKITA;;23
IND;HOC;PARATTU RAVEENDRAN;SREEJESH;37
IND;SAL;SARAVANAN;VISHNU;26
IRI;TTE;ALAMIYAN;NOSHAD;34
IRL;ATH;COSCORAN;ANDREW;29
IRL;ATH;ADELEKE;RHASIDAT;23
IRL;ATH;MAWDSLEY;SHARLENE;27
IRL;CSL;HENDRICK;NOEL;28
