Nom_Site;Sports;point_geo;Nb_sports;link
Stade de Marseille;Football (FBL);43.2698, 5.3959;1;Stade_de_Marseille.html
Stade Geoffroy-Guichard;Football (FBL);45.4607, 4.3902;1;Stade_GeoffroyGuichard.html
Arena Paris Sud 4;Tennis de table para (PTTE);48.830184, 2.289033;1;Arena_Paris_Sud_4.html
Arena Paris Sud 6;Goalball (PGBL);48.829381, 2.290865;1;Arena_Paris_Sud_6.html
Stade Tour Eiffel;Volley-ball de plage (VBV);48.85613, 2.2978;1;Stade_Tour_Eiffel.html
Arena Champ de Mars;Para Judo (PJUD), Rugby fauteuil (PWRU);48.8531, 2.30252;2;Arena_Champ_de_Mars.html
Arena Bercy;Basketball fauteuil (PWBK);48.83863, 2.378597;1;Arena_Bercy.html
Site d’escalade du Bourget;Escalade (CLB);48.93693402, 2.41997931;1;Site_descalade_du_Bourget.html
Arena Porte de la Chapelle;Para badminton (PBDM), Para Haltérophilie (PPWL);48.8997292, 2.3605141;2;Arena_Porte_de_la_Chapelle.html
Stade Roland Garros;Tennis fauteuil (PWTE);48.845968, 2.253522;1;Stade_Roland_Garros.html
Colline d’Elancourt;Cyclisme VTT (MTB);48.78981063, 1.9642379;1;Colline_dElancourt.html
Invalides;Athlétisme - arrivée Marathon (ATM), Cyclisme sur route - départ Contre-la-montre (CRD), Tir à l'arc (ARC);48.85704803, 2.312835932;3;Invalides.html
Stade nautique de Vaires-sur-Marne - stade d'eaux vives;Canoë-kayak slalom (CSL);48.86223209583829, 2.6395463613678416;1;Stade_nautique_de_VairessurMarne__stade_deaux_vives.html
Invalides;Para Tir à l'arc (PARC), Para Athlétisme - arrivée Marathon (PATM);48.85704803, 2.312835932;2;Invalides.html
Stade de la Beaujoire;Football (FBL);47.25593494, -1.52469927;1;Stade_de_la_Beaujoire.html
Golf National;Golf (GLF);48.7532, 2.0758;1;Golf_National.html
Parc des Princes;Football (FBL);48.84156974, 2.253048697;1;Parc_des_Princes.html
